Datum;Beginn;Ende;Ort;ID;Format;Titel_Session;Chair;Titel_Beitrag;Autorin/Autor_1;Affilation_1;Land_1;Autorin/Autor_2;Affilation_2;Land_2;Autorin/Autor_3;Affilation_3;Land_3;Autorin/Autor_4;Affilation_4;Land_4;Autorin/Autor_5;Affilation_5;Land_5;Autorin/Autor_6;Affilation_6;Land_6;Autorin/Autor_7;Affilation_7;Land_7;Autorin/Autor_8;Affilation_8;Land_8;Autorin/Autor_9;Affilation_9;Land_9;Autorin/Autor_10;Affilation_10;Land_10;Zusammenfassung
28.03.2019;16:00;19:00;HZ1;Poster_190;Poster;;;Herausforderungen für Thementhesauri und Sachregister-Vokabularien zur Erschließung im Kontext des digitalen Editionsprojekts Cisleithanische Ministerratsprotokolle;Stephan Kurz;Österreichische Akademie der Wissenschaften;Österreich;Ksenia Zaytseva;Österreichische Akademie der Wissenschaften;Österreich;;;;;;;;;;;;;;;;;;;;;;;;;Die digitale Edition der Cisleithanischen Ministerratsprotokolle deckt ein breites Spektrum ökonomischer, sozialer und gouvernmentaler Themen ab und ist damit eine herausragende Quelle für die historische Forschung zur Habsburgermonarchie. Die Herausforderung besteht darin, die thesaurus- und vokabularbasierte Erschließung für die Sachregister des gedruckten Teils der hybriden Edition vorzunehmen und zugleich Methoden zu entwickeln, um mithilfe von topic modeling und NLP-Verarbeitung auch das bestehende Korpus von rund 18000 retrodigitalisierten Seiten aus der vorangegangenen Serie der Edition tiefer erschließen zu können. Präsentiert werden Zwischenergebnisse aus dem Editionsworkflow sowie vorläufige Überlegungen zur Methodik der Themenerschließung.
28.03.2019;16:00;19:00;HZ1;Poster_193;Poster;;;text2ddc meets Literature - Ein Verfahren für die Analyse und Visualisierung thematischer Makrostrukturen;Alexander Mehler;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Tolga Uslu;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Rüdiger Gleim;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Daniel Baumarzt;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;;;;;;;;;;;;;;;;;;;In diesem Poster geht es um die thematische Analyse und Visualisierung literarischer Werke mithilfe automatisierter Klassifikationsalgorithmen. Hierfür wird ein bereits entwickelter Algorithmus namens text2ddc (Uslu et. al. 2018) verwendet, um die Themenverteilungen literarischer Werke zu identifizieren. Darüber hinaus thematisiert der Beitrag, wie diese Verteilungen von Themen und deren Abhängigkeiten untereinander visualisiert werden können.
28.03.2019;16:00;19:00;HZ1;Poster_195;Poster;;;Gute Wörter für Delta: Verbesserung der Autorschaftsattribution durch autorspezifische distinktive Wörter;Friedrich Dimpel;Friedrich-Alexander-Universität Erlangen-Nürnberg;Deutschland;Thomas Proisl;Friedrich-Alexander-Universität Erlangen-Nürnberg;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;"Verschiedene Verfahren zur Ermittlung der distinktiven Wörter mit Burrows”™ Delta werden in einer Reihe an Tests evaluiert. Verwendet werden dabei 280 Texte von 32 Autoren (ca. 19. Jahrhundert). Die Gute-Wörter-Verfahren führen zu besseren Erkennungsquoten; in geringem Umfang treten mehr False-Positives auf, doch sind die positiven Effekte größer als die negativen. Die detaillierten Zahlen, für die hier kein Platz verfügbar ist, zeigen, dass die False-Positives je nach Autor erheblich schwanken.

Eine solche Verfahrensoptimierung ist wichtig, um Autorschaftsfragen auch bei schwierigen Bedingungen untersuchen zu können – etwa bei mittelhochdeutscher Kleinepik mit dialektaler Varianz, fehlender orthographischer Standardisierung und eigentlich zu kurzen Texten."
28.03.2019;16:00;19:00;HZ1;Poster_196;Poster;;;Leistungsfähige und einfache Suchen in lexikografischen Datennetzen;Peter Meyer;Institut für Deutsche Sprache;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;Graphenbasierte Ansätze spielen in der digitalen Lexikografie eine immer stärkere Rolle. Essentiell für die Erstellung, Verwaltung und Nutzung graphenbasierter lexikografischer Ressourcen ist jedoch eine leistungsfähige und zugleich einfach zu handhabende Zugriffsstruktur, die Suchen nach komplexen Konstellationen in solchen Graphen ermöglicht. Für heutige Graphendatenbanken stehen zahlreiche Abfragesprachen zur Verfügung, deren Verwendung jedoch verhältnismäßig voraussetzungsreich ist.Das Poster stellt einen webbasierten, frei konfigurierbaren Query Builder vor, der die Formulierung semantisch sehr komplexer Suchabfragen an eine (mit dem Tinkerpop-Standard kompatible) Property-Graphendatenbank ermöglicht. Die Abfrage erfolgt durch einfaches visuell-interaktives Zusammenstellen hierarchisch angeordneter Abfrageelemente und liefert Antworten in Echtzeit. Dabei wird von den Komplexitäten der verwendeten Low-level-Abfragesprache Gremlin abstrahiert. Der Query Builder ist ein zentrales Modul eines derzeit entwickelten Open-Source-Softwaresystems zur Verwaltung und Online-Publikation graph-erweiterter lexikografischer Ressourcen.
28.03.2019;16:00;19:00;HZ1;Poster_200;Poster;;;Ein Web Annotation Protocol Server zur Untersuchung vormoderner Wissensbestände;Danah Tonne;Karlsruher Institut für Technologie;Deutschland;Germaine Götzelmann;Karlsruher Institut für Technologie;Deutschland;Philipp Hegel;Freie Universität Berlin;Deutschland;Michael Krewet;Freie Universität Berlin;Deutschland;Julia Hübner;Freie Universität Berlin;Deutschland;Sibylle Söring;Center für Digitale Systeme Freie Universität Berlin;Deutschland;Andreas Löffler;Karlsruher Institut für Technologie;Deutschland;Michael Hitzker;Karlsruher Institut für Technologie;Deutschland;Markus Höfler;Karlsruher Institut für Technologie;Deutschland;Timo Schmidt;Karlsruher Institut für Technologie;Deutschland;Der Sonderforschungsbereich 980 (SFB 980) „Episteme in Bewegung“ untersucht Prozesse des Wissenstransfers und Wissenswandels in europäischen und nicht-europäischen Kulturen vom 3. Jahrtausend vor Christus bis etwa 1750 nach Christus. Um diese komplexen multidirektionalen und multidimensionalen Prozesse beschreiben zu können, werden digitale Werkzeuge entwickelt, die auch auf größere Mengen an Texten und Bildern angewendet werden. An Hand zweier Anwendungsfälle, der de interpretatione-Kommentierung der Spätantike und Sprachlehrwerken der Frühen Neuzeit, werden die konkreten Möglichkeiten des Einsatzes von Annotationswerkzeugen dargelegt. Auf technischer Ebene wird die Anreicherung mit zusätzlichen Informationen mittels der W3C-Empfehlung Web Annotation Data Model sowie einem RDF-basierten Annotationsserver realisiert. Der Vortrag soll einen Einblick in die technischen Herausforderungen in Bezug auf Modellierung, Interoperabilität und Auswertung sowie die Auswirkungen auf den geisteswissenschaftlichen Forschungsprozess bieten.
28.03.2019;16:00;19:00;HZ1;Poster_201;Poster;;;"Modellprojekt ""eHumanities - interdisziplinär"": Forschungsdatenmanagement im Rahmen des ""Digitalen Campus Bayern""";Julian Schulz;Ludwig-Maximilians-Universität München;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Das im Rahmen des ""Digitalen Campus Bayern"" vom Bayerischen Ministerium für Wissenschaft und Kunst geförderte Modellprojekt ""eHumanities - interdisziplinär"" sieht sich an der Schnittstelle zwischen übergeordneten Forschungsdateninfrastrukturen (NFDI) und lokalen, geisteswissenschaftlichen Akteuren.Ziel des Projekts ist es, abgestimmt auf die Bedürfnisse der digitalen Geisteswissenschaften modellhaft Konzepte, Services und Workflows sowie konkrete technische Lösungen für das Forschungsdatenmanagement (zunächst) an den Standorten Erlangen-Nürnberg und München zu erarbeiten. Aufbauend auf den dabei gewonnenen Erfahrungen werden Schulungs- und Lehrangebote konzipiert.Das einzureichende Poster möchte einen Überblick über die im Laufe des ersten Projektjahres in fünf Arbeitspaketen erzielten Ergebnissen geben und diese in den Gesamtkontext der aktuellen Diskussionen um das Forschungsdatenmanagement in den Geisteswissenschaften einbetten. Anhand eines Anwendungsfalls (Projekt VerbaAlpina), der im Rahmen von „eHumanities – interdisziplinär“ als Pilotprojekt fungiert, sollen die organisatorischen und technischen Abläufe anschaulich präsentiert und zur Diskussion gestellt werden sowie zukünftige Arbeitsschritte bzw. Desiderate aufgezeigt werden."
28.03.2019;16:00;19:00;HZ1;Poster_202;Poster;;;I like to PROV it! Ein Data Object Provenance Tool für die Digital Humanities;Peter Mühleder;Universitätsbibliothek Leipzig;Deutschland;Tracy Hoffmann;Universitätsbibliothek Leipzig;Deutschland;Florian Rämisch;Universitätsbibliothek Leipzig;Deutschland;;;;;;;;;;;;;;;;;;;;;;Der Umgang mit Forschungsdaten ist inzwischen ein wichtiger Bestandteil geisteswissenschaftlicher Forschungsprojekte. Um einen Überblick über diese zu behalten, kommen oft individuelle Lösungsstrategien zum Einsatz, welche in vielen Fällen für andere Personen schwer nachzuvollziehen sind. Dabei ist die Nachvollziehbarkeit entscheidend dafür, ob die Daten später von anderen Forschenden nachgenutzt werden können. Um dieses Ziel zu erreichen sollte die Provenance von Daten (Informationen zu Herkunft, Verarbeitungsprozesse, etc.) während des Forschungsdatenlebenszyklus mit erfasst werden.Wir präsentieren Provit, ein Tool, dass es ermöglicht, auf eine standardisierte, einfache Weise Provenance zu Forschungsdatenobjekten (unabhängig von Dateiformat und Bearbeitungsform) zu erfassen, ohne dabei auf eine komplexe technische Infrastruktur angewiesen zu sein. Die Verwendung von RDF Technologien stellt dabei die Interoperabilität sicher und ein mitgelieferter Visualisierungs-Browser ermöglicht die Ansicht und das Verständnis der Provenance-Daten auch für nicht-technische Forschenden.
28.03.2019;16:00;19:00;HZ1;Poster_204;Poster;;;DER STURM. Digitale Quellenedition zur Geschichte der internationalen Avantgarde. Drei Forschungsansätze.;Anne Katrin Lorenz;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;Lea Müller-Dannhausen;Johannes Gutenberg-Universität Mainz;Deutschland;Marjam Trautmann;Akademie der Wissenschaften und der Literatur | Mainz;Deutschland;;;;;;;;;;;;;;;;;;;;;;Vorgestellt wird das digitale Editions- und Forschungsprojekt “DER STURM. Digitale Quellenedition zur Geschichte der internationalen Avantgarde” (https://sturm-edition.de) mit seinen Funktionalitäten und Inhalten. Gegenstand der Webanwendung ist das 1910 gegründete Berliner Kunstunternehmen “Der Sturm” um den Publizisten, Komponisten und Kritiker Herwarth Walden, der zahlreichen, auch internationalen Künstlerinnen und Künstlern aus den Bereichen der Literatur, Musik, bildenden Kunst und des Theaters eine Plattform bot. Die in die Edition eingehenden Quellen bilden derzeit Briefe an Herwarth Walden, die Zeitschrift “Der Sturm”, Ausstellungskataloge, die Jahrbücher der “Sturm”-Bühne sowie im “Sturm”-Verlag erschienene Schriften. Von der digitalen Quellenedition ausgehend demonstrieren wir an drei beispielhaften Forschungsansätzen das Potential, das diese mit ihren Inhalten und der spezifischen Form der Aufbereitung bietet – für die Digital Humanities sowie für einzelne Fachwissenschaften.
28.03.2019;16:00;19:00;HZ1;Poster_206;Poster;;;Paleocoran: Virtuelle Rekonstruktion von Korankodizes mit IIIF;Oliver Pohl;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Michael Marx;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Stefanie Franke;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Farah Artika;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Markus Schnöpf;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Edin Mahmutovic;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;Das Projekt Paleocoran untersucht Koran-Handschriftenfragmente aus dem siebten bis zehnten Jahrhundert aus der Moschee des Ê¿Amr ibn al-Ê¿Ä€s in al-Fuá¹£tÄt (Alt-Kairo), welche aber heute in verschiedenen Bibliotheken und Privatsammlungen weltweit verteilt vorliegen. Dabei verzeichnet Paleocoran materielle und paleographische Evidenzen in diesen Handschriftenfragmenten, um die gemeinsame Herkunft verschiedener Fragmente zu identifizieren und so in ihrer ursprünglichen Form als Korankodex mittels IIIF digital rekonstruieren zu können.
28.03.2019;16:00;19:00;HZ1;Poster_207;Poster;;;Weltkulturerbe international digital: Erweiterung der Wittgenstein Advanced Search Tools durch Semantisierung und neuronale maschinelle Übersetzung;Ines Röhrer;Ludwig-Maximilians-Universität München;Deutschland;Sabine Ullrich;Ludwig-Maximilians-Universität München;Deutschland;Maximilian Hadersbeck;Ludwig-Maximilians-Universität München;Deutschland;;;;;;;;;;;;;;;;;;;;;;Auf unserem Poster sollen zwei neue Komponenten der Wittgenstein Advanced Search Tools (WAST) vorgestellt werden:Zum einen wird das seit Jahren bestehende digitale Lexikon WiTTLex durch ein Wittgenstein-spezifisches Synonymie-Lexikon WiTTLEx Synonym erweitert. Die Grundlage für dieses Lexikon ist einerseits die durch WiTTLex geschaffene Wortdatenbank, sowie andererseits die aus GermaNet und WordNet extrahierten Synonyme. Ein schrittweiser Aufbau und Erweiterung eines Synonymielexikons ermöglicht eine Evaluation von GermaNet im sprachlichen Kontext der Philosophie und kann Anzahl und Güte gefundener Synonyme zeigen.Die zweite Erweiterung der WAST betrifft den internationalen Zugang der Suchmaschine für nicht deutschsprachige Wissenschaftler. Die gefundenen Faksimile und deren Transkription aus Bergen können derzeit nur in Originalsprache angezeigt werden. Daher wird ein maschinelles Übersetzungssystem integriert, um Philosophen und anderen Interessierten aus aller Welt einen möglichst objektiven Zugang zum Nachlass zu ermöglichen.
28.03.2019;16:00;19:00;HZ1;Poster_217;Poster;;;Umfrage zu Forschungsdaten in den Geistes- und Humanwissenschaften an der Universität zu Köln;Katja Metzmacher;Data Center for the Humanities Universität zu Köln;Deutschland;Patrick Helling;Data Center for the Humanities Universität zu Köln;Deutschland;Jonathan Blumtritt;Data Center for the Humanities Universität zu Köln;Deutschland;Brigitte Mathiak;Data Center for the Humanities Universität zu Köln;Deutschland;;;;;;;;;;;;;;;;;;;Um Bedarfe der Wissenschaftler*innen im Umgang mit Forschungsdaten an der Geisteswissenschaftlichen und Humanwissenschaftlichen Fakultät der Universität zu Köln zu ermitteln, haben wir eine Umfrage entwickelt. Ziel dieser Umfrage ist vor allem die Charakterisierung der vorhandenen digitalen Forschungsdatenbestände und der Beratungsbedarfe der Wissenschaftler*innen zu erheben.2016 haben wir bereits eine Umfrage an der Philosophischen Fakultät durchgeführt, und können daher kurzfristige Veränderungen beobachten. Darüber hinaus haben wir den Fragebogen erweitert, um auch die Rolle der Befragten als Nutznießer von publizierten Forschungsdaten zu ermitteln.
28.03.2019;16:00;19:00;HZ1;Poster_218;Poster;;;Der TextImager als Front- und Backend für das verteilte NLP von Big Digital Humanities Data;Wahed Hemati;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Alexander Mehler;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Tolga Uslu;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Giuseppe Abrami;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;;;;;;;;;;;;;;;;;;;Wir stellen ein Konzept zur flexiblen Erweiterung des Bereichs des Natural Language Processing (NLP) auf Basis von TextImager vor. Zu diesem Zweck stellen wir eine UIMA-basierte Serverarchitektur vor, die im Grundsatz offen ist: Wissenschaftler können teilnehmen und dazu beitragen.Diese Architektur kann helfen, NLP-Tools oder -Pipelines, die proprietär oder geschützt sind, der gesamten Digital Humanities Gemeinschaft zugänglich zu machen.Der Beitrag erörtert die Möglichkeiten und Grenzen des NLP von Big Data, stellt den TextImager als Werkzeug für diesen Bereich zur Diskussion und zeigt anhand von drei Nutzungsszenarien Einsatzmöglichkeiten in den DH auf.
28.03.2019;16:00;19:00;HZ1;Poster_219;Poster;;;„Medialization follows function!“ Multimodaler Hypertext als Ausdrucksmedium für die Geisteswissenschaften;Christian Wachter;Georg-August-Universität Göttingen;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;Geisteswissenschaftler*innen stellen Wissen nicht als ein Nebeneinander von losen Einzelinformationen her, sondern sie bilden interpretierend „Sinn-volle“ Zusammenhänge zwischen Informationen. Diese Kohärenzstrukturen finden dann ihren symbolischen Ausdruck in Publikationsmedien. Klassischerweise spielen dabei lineare Narrative in Drucktexten eine zentrale Rolle – vor allem weil so die sequenzierte Struktur von Argumentationsverläufen, chronologischen Schilderungen, etc. auf eine direkte Weise im Textfluss abgebildet wird. Bei Gleichzeitigkeiten, Multiperspektivität, alternativen Deutungsangeboten und anderen pluralistischen, nicht-linearen Zusammenhängen stößt Drucktext allerdings an seine Grenzen. Hier leistet interaktiver und multimodal gestalteter Hypertext als Publikationsform mehr: Mit meinem Promotionsprojekt argumentiere ich, dass Hypertext die „Architektur“ von Argumentationsgebäuden als pluralistisch gestaltete Kohärenzstrukturen sichtbar werden lassen kann. Geisteswissenschaftler*innen können auf diese Weise also explizit kenntlich machen, wie sie ihr pluralistisches Wissen aufbauen. Mit diesem Konnex zwischen Knowledge Design und Mediendesign möchte ich einen medientheoretischen Beitrag zum E-Publishing leisten. Er folgt keiner medienzentrierten Perspektive, sondern hebt von Strategien und Zielen geisteswissenschaftlicher Wissenserzeugung ab.
28.03.2019;16:00;19:00;HZ1;Poster_220;Poster;;;Multimedia aus Rezipientenperspektive: Wirkungsmessung anhand von Biofeedback;Daniel Schlör;Julius-Maximilians-Universität Würzburg;Deutschland;Blerta Veseli;Julius-Maximilians-Universität Würzburg;Deutschland;Andreas Hotho;Julius-Maximilians-Universität Würzburg;Deutschland;;;;;;;;;;;;;;;;;;;;;;"In dieser Arbeit stellen wir eine Smartphone App zur Vermessung von Körperreaktionen wie Herzschlag oder Bewegung auf Multimedia Konsum vor. Die App ist darauf ausgelegt, der breiten Masse an Konsumenten ein einfaches Werkzeug für self-tracking beim Medienkonsum an die Hand zu geben und bietet damit die Möglichkeit Studien sehr einfach durchzuführen, die Zusammenhänge zwischen narrativen Ereignissen und physiologischen Vorgängen untersuchen.

In einer multimedialen Versuchsreihe wurden beim Lesen von vier Kurzgeschichten und Schauen von einem Kurzfilm körpernahe Sensordaten von insgesamt 15 Probanden aufgezeichnet. Dabei konnte gezeigt werden, dass auch mit einfachen Fitness Trackern körperliche Reaktionen auf wahrgenommene Inhalte messbar sind."
28.03.2019;16:00;19:00;HZ1;Poster_224;Poster;;;CMIF Creator - digitale Briefverzeichnisse leicht erstellt;Jonas Müller-Laackman;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Stefan Dumont;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;Sascha Grabsch;Berlin-Brandenburgische Akademie der Wissenschaften;Deutschland;;;;;;;;;;;;;;;;;;;;;;"Mit dem CMIF Creator wurde im Rahmen des DFG-Projekts ""correspSearch - Briefeditionen vernetzen"" ein Werkzeug entwickelt, mit dessen Hilfe digitale Briefverzeichnisse von bereits gedruckten Editionen einfach und ohne technische Kenntnisse erstellt werden können. Der CMIF Creator bietet dem Benutzer eine übersichtliche, formularbasierte Oberfläche um Briefmetadaten zu erfassen. Über eine Schnittstelle sind zudem die Gemeinsame Normdatei (GND) der Deutschen Nationalbibliothek und der freie Ortsnamendienst GeoNames angebunden. Damit wird die Eingabe eindeutiger Norm-IDs, die für die projektübergreifende Recherche in correspSearch unerlässlich sind, für Personen und Orte unterstützt. Die NutzerInnen können zu jedem Zeitpunkt der Bearbeitung die Daten im standardisierten CMIF- Format lokal speichern und von dort aus wieder für die Weiterbearbeitung laden. Der CMIF Creator steht unter https://correspsearch.net/creator/index.xql zur Verfügung"
28.03.2019;16:00;19:00;HZ1;Poster_226;Poster;;;VAnnotatoR: Ein Werkzeug zur Annotation multimodaler Netzwerke in dreidimensionalen virtuellen Umgebungen;Giuseppe Abrami;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Christian Spiekermann;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;Alexander Mehler;Johann Wolfgang Goethe-Universität Frankfurt am Main;Deutschland;;;;;;;;;;;;;;;;;;;;;;Die Verarbeitung, Erzeugung und Visualisierung von multimodalen Netzwerken, in denen etwa symbolische und ikonographische Inhalte miteinander vernetzt werden, um sie multimodal rezipierbar zu machen, bilden neuartige Herausforderungen für die digitalen Geisteswissenschaften, da sie weitüber textbasierte Medien hinausreichen. Digitalisate von Schrifttexten, Bildern und Illustrationen können in diesem Zusammenhang als Beispiele für knotenbildende Informationsobjekte ebenso genannt werden wie dreidimensionale objektrepräsentationen. Die Anordnung dieser Objekte zu semiotischen Netzwerken hat den Zweck, deren Zusammenhangsstruktur zu visualisieren und rezipierbar zu machen.Multimodale Netzwerke waren bereits Gegenstand einer Reihe von Projekten. sich darunter kein Projekt, das eine generische Plattform zur Visualisierung und Annotation solcher Netzwerke im Rahmen virtueller Umgebungen zur Verfügung stellt. Hierzu wurde VAnnotatoR zur Bearbeitung und Visualisierung dieser Netzwerke als multimodale Hypertexte in der virtuellen / augmentierten Realität entwickelt. Inwiefern VAnnotatoR als interdisziplinäres Werkzeug der digitalen Geisteswissenschaften aufzufassen ist, soll Diskussionsgegenstand der Präsentation dieses Systems sein.
28.03.2019;16:00;19:00;HZ1;Poster_228;Poster;;;Multimodales Zusammenspiel von Text und erlebter Stimme – Analyse der Lautstärkesignale in direkter Rede;Svanja Guhr;GCDH Universität Göttingen;Deutschland;Hanna Varachkina;GCDH Universität Göttingen;Deutschland;Geumbi Lee;GCDH Universität Göttingen;Deutschland;Caroline Sporleder;GCDH Universität Göttingen;Deutschland;;;;;;;;;;;;;;;;;;;Lautstärke lässt sich in literarischen Texten nur näherungsweise abbilden. Eine wichtige Rolle spielen hierbei die redeeinleitenden Verben (Verba Dicenci), die es erlauben, zumindest den sprechenden Personen ein relatives Lautstärkeprofil zuzuordnen. Wir untersuchen wie Lautstärke mithilfe der Verba Dicendi transportiert wird und ob ein so berechnetes Lautstärkeprofil mit literaturwissenschaftlich relevanten Kategorien korreliert, insbesondere ob sich die Betontheit des inneren Ausdrucks im literarischen Expressionismus auch in der verbalen Darstellung einer größeren Lautstärke widerspiegelt.
28.03.2019;16:00;19:00;HZ1;Poster_229;Poster;;;Mit neuen Suchstrategien vom isolierten Text zu 'illuminierten Urkunden';Martina Bürgermeister;Universität Graz;Österreich;Gabriele Bartz;Österreichische Akademie der Wissenschaften;Österreich;Markus Gneiß;Österreichische Akademie der Wissenschaften;Österreich;;;;;;;;;;;;;;;;;;;;;;Immer mehr mittelalterliche Urkunden sind heute digital verfügbar, doch viele nur als Text in Urkundenbüchern. Eine Suchabfrage nach Illuminationen führt in diesen Fällen kaum zu Treffern. Das heißt, mit klassischen Suchstrategien sind ”šilluminierte Urkunden”˜ wenn überhaupt nur mit sehr hohem Zeitaufwand auffindbar. Das Ziel dieses gemeinsamen Projekts ist es, Hinweise auf Illuminationen in den Metadatentexten aufzufinden. Dazu werden in einem mehrstufigen Textanalyseprozess aus bereits erschlossenen Urkunden automatisiert Stichwörter extrahiert („keyword extraction“), gerankt und zur API-Abfrage von online Archivdatenbanken aufbereitet, um zu neuen Treffern zu führen. Unser Beitrag ist als Reaktion auf das wahrgenommene Defizit der isolierten Betrachtung von Text- und Bilddaten zu verstehen.
28.03.2019;16:00;19:00;HZ1;Poster_230;Poster;;;Multimodale Sentimentanalyse politischer Tweets;Stefan Ziehe; GCDH Universität Göttingen;Deutschland;Caroline Sporleder;GCDH Universität Göttingen;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Tweets mit politischem Inhalt können eine nützliche Datenquelle für die Analyse von Prozessen zur politischen Meinungsbildung sein. Von besonderem Interesse ist hierbei, wie sich die Zustimmung zu Parteien, Programmen oder Themen ändert und was diese Ã„nderungen auslöst. Um dies zu untersuchen ist die Sentimentanalyse ein nützliches Verfahren. Für Texte funktioniert dies meist recht gut, Twitter, jedoch, zeichnet sich durch eine ausgesprochen multimodale Natur aus. Insbesondere Bilder werden gerne mit den eigentlichen Texten kombiniert. Häufig müssen Bild und Text gemeinsam betrachtet werden, um das korrekte Sentiment zu identifizieren. Das vorliegende Abstract untersucht und vergleicht verschiedene Deep Learning-Verfahren und -Architekturen zur multimodalen Sentimentanalyse.
28.03.2019;16:00;19:00;HZ1;Poster_234;Poster;;;Linked Open Travel Data: Erschließung gesellschaftspolitischer Veränderungen im Osmanischen Reich im 19. Jahrh. durch ein multimediales Online-Portal;Jörg Wettlaufer;Georg-August-Universität Göttingen;Deutschland;Deniz Kilincoglu;Georg-August-Universität Göttingen;Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;Das lange 19. Jahrhundert war ein Zeitalter einer schnellen und radikalen Transformation für das Osmanische Reich. Der Aufstieg des Nationalismus unter den verschiedenen ethnischen und religiösen Gemeinschaften des Reiches war dabei einer der entscheidenden Faktoren bei dieser Transformation. In diesem Projekt sollen Informationen zur politischen Situation und zur Wahrnehmung dieser Transformation durch Reisende im Osmanischen Reich in diesem Zeitraum zusammengetragen und erschlossen werden.In einem Online Portal (middle-east-travelers.de) werden Informationen zu den Reisenden und ihren Berichten zusammengetragen. Dabei wird ein Linked Open Data Ansatz verfolgt, der die extrahierten Entitäten und Informationen als Ressourcen für multimodale Forschungsansätze zur Verfügung stellt. Für die Analyse wird Open Semantic Search (www.opensemanticsearch.org) verwendet, eine Enterprise Suchumgebung mit integrierter NER und Linked Open Data Funktionalität.
28.03.2019;16:00;19:00;HZ1;Poster_243;Poster;;;Linked Biondo - Modelling Geographical Features in Renaissance Text and Maps;Günther Görz;Bibliotheca Hertziana/ FAU Erlangen-Nürnberg;Italien / Deutschland;Chiara Seidl;Bibliotheca Hertziana / FAU Erlangen-Nürnberg;Italien / Deutschland;Martin Thiering;Bibliotheca Hertziana / FAU Erlangen-Nürnberg;Italien / Deutschland;;;;;;;;;;;;;;;;;;;;;;"Bibliotheca Hertziana's project ""Historical spaces in texts and maps"" aims at a cognitive-semantic analysis of Flavio Biondo's ""ItaliaIllustrata"" linking with contemporary maps. At focus are relationsbetween historical maps and texts aiming to explore the historicalunderstanding of space. We combine cognitive-semantic parameters suchas toponyms, landmarks, spatial frames of reference, geometricrelations, gestalt principles and different perspectives withcomputational and cognitive linguistic analysis, using different toolsfor annotating place names including geographic verification in textand maps and for cognitive-linguistic annotation of spatial relations. To achieve a generic semantic level for all annotations, we pursue thetransition to an ontology-based representation. Using the CIDOC CRMopens up a wide spectrum of interoperability and linking. This allowsa semantic interpretation of annotations such that we generateinstantiated CRM descriptions in RDF/OWL triple format, ready forpublication as Linked Open Data."
28.03.2019;16:00;19:00;HZ1;Poster_247;Poster;;;Mapping the Moralized Geography of 'Paradise Lost': Prototypenbildung am Beispiel einer geo-kritischen Erschließung von Miltons Werk;Marcel Schaeben;Cologne Center for eHumanities, Universität zu Köln;Deutschland;Randa El Khatib;Electronic Textual Cultures Lab University of Victoria;Kanada;;;;;;;;;;;;;;;;;;;;;;;;;"Auf unserem Poster präsentieren wir den aktuellen Stand eines experimentellen Prototyps einer kartenbasierten Web-App, die zur Illustration sowie zur kritischen Interpretation der literarischen Geographie des 1667 erschienenen epischen Gedichts ""Paradise Lost"" von John Milton dienen soll. Milton erzählt darin die im biblischen Buch Genesis enthaltene Geschichte des Höllensturzes, der Versuchung von Adam und Eva und ihre Vertreibung aus dem Garten Eden. Er erwähnt darin zahlreiche biblische und nicht-biblische Orte, welche er mit literarischen Kommentaren und Anspielungen illustriert, die sich aus klassisch-mythologischen, biblischen sowie (Milton-)zeitgenössichen Quellen und Ansichten zu diesen Orten speisen. Die meisten Orte werden dadurch moralisch kontextualisiert und lassen eine positive oder negative Konnotation erkennen. Unser Prototyp soll den kern einer ""geo-kritischen"" Edition bilden, die die unterschiedlichen räumlichen und zeitlichen Dimensionen der literarischen Geographie Paradise Losts erstmals visuell explorativ zugänglich macht. Die Herausforderung einer übersichtlichen Visualisierung der unterschiedlichen Faktoren Miltons komplexer literarischer Geographie ist dabei zentrales Thema des Posters."
